sentiment,review_body,product_category
-1,I couldn't wait to get this top in the mail since they didn't have it at my local retailer  but i was so disappointed in both the quality and fit. the white is completely see-thru  i can't believe how sheer the material is - especially for the price. even as the shirt is lying down  i can see through both layers of it... the fit runs small  and short.,Blouses
-1,This top is too boxy and has too much going on. it should have no buttons or different ones.,Blouses
-1,Like other reviewers have said  this is very sheer  look at the sleeve in the picture and you'll get an idea of how sheer the body is as well. the material posed challenges for it's creater because one top i tried on in the store had a sleeve that was smaller than the other  tight enough that it would have ripped if i weren't careful. tried on another identical top and the sleeves were a normal somewhat loose fit. bodice portion is much more intense pink in real life. loose  billowy  and perhaps,Blouses
-1,This is a crop top but super boxy and wide. i expected it to be more fitted in the waist. since it sits out away a from the body a lot  it was not flattering. i also felt the stitching to be a bit matronly for me. too bad as i am having such a hard time finding tops and i'm willing to pay full price for something that works.,Blouses
-1,I don't have a large head but i could barely squeeze this blouse over mine. i also ordered the xs even though i'm usually a small and it was still blousier than i would have liked. already returned it. on the plus side  it's gorgeous.,Blouses
-1,I wish this shirt would not have had so much material. it would make a great maternity top! if you are really thin  it might work for you too.,Blouses
-1,I just returned this top. i agree with the previous reviewer. the neckline is way too deep  i ordered small and i looked ridiculous in it. also the ruffles didn't look so great on me either.,Blouses
-1,I ordered this top because it was 100 percent cotton and a cute design. when it arrived  i thought it was a cute  different top  uniquely designed. when i tried it on  it looked like a had several extra rolls due to the ruching and was very unflattering. it reminded me of the michelin man wearing extra tires and i am of a thin build so i did not like the perception of rolls throughout the bodice. unfortunately  it did not work for me. i wish retailer would include more cotton tops in their collect,Blouses
-1,Absolutely beautiful top  worn once...hand washed and that's all she wrote..ruined!! the black trim bled all over the top!! i tried everything you could imagine to get this back to normal! do not recommend!! :(,Blouses
0,I like the color and the plaid pattern on this top. the material is soft to the touch and despite being petite  i bought the regular length to pair with tights. it has the feel of a baby doll because of the longer length on me. i quite like the feminine cut of the top which makes it slightly unique as far as plaid tops go. the material also doesn't feel too flimsy or cheap and the top feels well made. it will not be hard to reach for this item as it is a versatile piece  as many reviewers have n,Blouses
0,I loved this shirt online and ordered it in blue immediately even though i usually hesitate to spend over $100 on casual blouses. unfortunately  i was super disappointed when it arrived. the lace does not contrast as much as shown in these pictures and it just doesn't look all that special. having said that  it is super comfy and soft and the sizing is generous - it may run big on you if you have a small chest. all in all  i would buy it on sale but certainly not worth the price tag!,Blouses
0,I'm pretty tan and i always have to be careful with white tops or pants. i love the embroidery detail but this top is practically see-through for me. it is double-lined  but i could still see my bra. very pretty though and i was disappointed that it didn't work for me.,Blouses
0,I ordered this in both the white and navy colors - navy being what looks like an ivory background with navy spots. when i received the blouse  the background on the navy is actually a light grey/beige color that makes the whole top look kind of dingy. when ordering the navy version  be aware that the product images don't show the true background color on the top!,Blouses
0,This top is beautiful to look at but did not fit me like the model. it was tight across the bust but very poofy at the bottom  which normally i like  but not this time. sad.,Blouses
0,The top is gorgeous and bohemian like with a loose fit. the top arrived with a small black stain and some of the lace already ripped. it might be too delicate for me to even exchange for another and wear. i am going to have to return it.,Blouses
0,Cropped and wide- would look cuter on someone who is more petite. was too wide and cropped for me. very sheer.,Blouses
0,I had been eyeing this top for a while so i was so happy to see it go on sale! i was so excited that i went to my local retailer to try to purchase it right away. unfortunately this top did not fit me right. on the model it looks adorable  on me it was frumpy & ugly. the petite is sold out so i tried a regular medium (i'm usually in-between a medium & a large) & it fit me big & just didn't do anything to my figure. i agree with the other reviewers that the bow was too thin & flimsy & needed to be,Blouses
0,I love this shirt. tried in on in stores. i'm typically a medium across the board. i'm 5'6  137lbs  34d. i went for the size 6 figuring the 4 would be too small. the 6 fit... but it's short like everyone else said. not crop top short but definitely raise your arms and stomach is exposed short. i didn't buy it for the $50 price tag because of the shortness. but now that it's 30% i might spring for it  regardless of the weird cut. it's super cute otherwise!,Blouses
1,This shirt is really quite cute. it can be dressed up or down depending on the occasion. it's also forgiving and quite flattering. my only concern is that it is a bit see through in certain lighting but it is very subtle. i definitely would recommend.,Blouses
1,I agree with others that this top runs small. i am usually a 2/4 in retailer tops and the small was very tight around the chest area. however  it looked so cute on! i wanted to buy it so badly  but it just didn't work for me. the design is absolutely adorable but i could not lift my arms without the whole top riding up. they did not have a medium in the store so i couldn't see if a larger size would work. overall  such a cute top  just not appropriate for someone my age or practical for someone ch,Blouses
1,I l o v e this sleeveless blouse for is soft tranquil print  wearability from day to night  comfort and fit! the design is flirty yet sophisticated-i wear it with skirts for work and jeans by night. can't say enough good things! everyone should have this beautiful piece in their wardrobe!,Blouses
1,This is a perfect late summer into fall top! you can easily pair with shorts and sandals then transition to jeans/booties for the fall. it's slightly on the roomy side (i am usually a medium and i had room) but i think that's just the structure of the shirt. off the shoulder style stays perfectly in place!,Blouses
1,I adore this top. the fit is amazing. the colors are vibrant and will transition beautifully into spring. i think it looks great with skinny jeans. i am built small up top size m and the 6 fit perfectly. the buttons did not gape at all.,Blouses
1,Being six feet tall  i'm always combing reviews for the opinions of other tall women  and i'm glad i did on this one! with the off the shoulder look  you can sometimes gain extra length  and it's true in this case. i stayed tts because of length issues  and while it is billowy  it's not horribly so. i would think  however  if you're between sizes  or not worried about height  i'd go with the smaller option. adorable  comfy  casual while being dressy enough for a night out!,Blouses
1,The look is frest  crisp with a touch of romance. very retailer!,Blouses
1,Absolutely love this top. it is beautiful  well made and so unique.,Blouses
1,Great top  for me it would be tuck in only as a little wide near waistline. i am 5'4 so can do it with top length  but not sure someone taller could. so depends on wardrobe needs what you plan on wearing it with. would probably look cute with skinny jeans  but i bought it for skirts. adorable detailing around neckline and sleeves. really love it  but more sheer than i expected. great with a nude bra  but probably would see other colors through it.,Blouses
-1,This dress either runs large or just has too much fabric. ordered my usual size  but it is too long and too baggy to do a thing for me. embroidery pretty  but background is more of a muddy gray  then denim as shown. if the smaller size in petite was available  i'd have exchanged it  but it is going back.,Dresses
-1,I finally found this dress in store today and wow! i cannot believe this cheap looking dress is from ms! they have been among the top at retailer and this unlined  baggy  cheap velvet sub is a shock! what happened? only the color is nice. please get back to yourself ms!,Dresses
-1,Way too much fabric; sticks out like jodhpurs but from the hip - eek! might be a great dress in rayon or a drapey fabric  but the extra fabric just piles up on itself... the outer layer also doesn't feel like it will breath. add the cotton lining  and i think it will feel miserable in the heat of the texas summer. returning.,Dresses
-1,After reading the glowing reviews i was excited to buy this on sale. i'm tall and lean  but found the dress looked slightly awkward and off on me compared to the model pictures. firstly  the top has a strange transition to the skirt  with extra fabric you have to either blouse over the skirt or bunch together. if you blouse it and lay flat  it invariably gets bunched as you wear it. this bunching changes the aesthetics of the color blocks  creating less clean lines. i also found the blue  black,Dresses
-1,I bought this online so didn't realize that the fabric at the bottom is very  very stiff. i was expecting something silky  or at least on the softer and more moveable side. the best description i can think of is an overly starched mens dress shirt. that being the case  it kind of juts out in weird places. the sweater part is very nice  but it is somewhat closer fitting than what it seems in the picture. the fabric bottom is too ample for the slimmer design of the sweater which just adds to the o,Dresses
-1,This dress didn't work for me at all. i'm 6ft tall  160lb  i usually wear size l 8/10  but based on the reviews i ordered an m. the material of this dress is very soft and fuzzy  color is about the same as pictured  also length is appropriate. dress is very thick and warm  the fabric however has no stretch at all  dress is very specious and shapeless. there is allot of room everywhere except shoulders & sleeves  i thought that area was tight & snug which is strange because it runs large everywhe,Dresses
-1,"I am typically a small/6 in dresses  but i should have gone with the other reviewers and sized down. it had no shape  but hung like a paper sack. the armholes fit perfectly though  if i had sized down they may have been too tight. i am 5'6"" 140 lb  i will return  too bad because it is a pretty dress!",Dresses
