sentiment,review_body
-1,This suit did nothing for me. the top has zero support. this would work for a younger woman who does not require any support and is smaller chested. also  the top gapped in the center. it just did not fit right. the top is very thin showing everything. a light padding would make a big difference in this suit. also i could not get a good fit. as i tightened the top  the back would ride up. the bottoms are ok. not renatkable
-1,"Like other reviewers  i saw this dress on the cover of the catalog and knew i had to have it! well  i am very disappointed. the colors aren't as rich as the outdoor photo  although they're brighter than shown in the studio photos. this is just not a flattering dress. i've put it on three times and taken it back off. the neck is too high  the sleeves are too narrow (and i have really skinny arms)  and there's no ""swing"" to it. i am 5'4"" and weigh 120 pounds and bought a size small  which is what"
-1,I wish i had read the reviews before purchasing online. i love how this top looks online but when i tried on the small that i ordered  it was comical. so so boxy. literally  shaped like a square. it must be pinned back on this model. maybe if i ordered an xxxxs it would have worked...or perhaps for a larger person  it may look super cute! just didn't work on my slim build. :(
-1,I ordered these pants in my usual size (xl) and was shocked when i received them. the waist was huge and there was nothing in the way of an elastic or tie to keep them up. i couldn't keep them on so  of course  back they go! too bad! the sweater quality is great.
-1,"I noticed this top on one of the sales associates  and it looked great. she's probably 230lbs and about 5'5.  tried it on and it looked horrible  i even tried sizing down twice. i'm 5'8"" and the ruffles started right under my chest. i gave 2 stars bc of the material  it is light  and summery."
-1,"When i saw this jacket in store  i fell in love with it. the colors with the quilting and gold studs are gorgeous. i am 5'3"" 130# 36dd with petite frame. i tried a m on in store and the sleeves were super long and wide. the s was too small across chest and hung open oddly. the jacket is a nice heavy weight and great quality. i ordered a petite m and it was no better. i literally looked like a big marshmallow...a linebacker! the sleeves were so unflattering where it looked like i was wearing pvc"
-1,I loved this dress when i saw it online  perfect for a summer wedding  but when i tried it on i was very disappointed. the fabric and styling are gorgeous and very high quality but the sheer amount of fabric on this dress is just not as pictured. there is layer after layer of silk and ruffle and while lovely  it made me look very large. i tried tying the belt many ways to no avail. sadly  it will have to go back. it may look good on a very thin frame but didn't complement my average one.
-1,It's like a work of art  but sadly  not flattering on me. i absolutely loved the look  and even considered taking it to a tailor  but the material overall is very stiff. if you're teeny tiny and need something to give you the illusion of hips  you might love it. very sad to return this.
-1,I usually love bordeaux so i was very disappointed with this shirt when it arrived. the fabric smelled plastic-y which is a first for me with retailer products. when i put the shirt on  i could see it had that sheen that comes from rayon spandex blend shirts  i hadn't noticed that it had spandex in it when i ordered it. this fabric looks and feels exactly like the cheap blends sold at discount stores. i can't believe retailer is selling this.
-1,Extremely cute sweater  but after having worn it twice it's already pilling up. i'd expect more for a $100 sweater.
-1,This is such a beautiful dress.  but have to return for the reasons others have noted.  the chest does not fit well.
-1,I really wanted to love this piece but it was very large. i'm 5'2 and ordered xs/s and i have return due to size.
-1,Beautiful color  design and fit.  but i couldn't wait to get it off.  i don't have sensitive skin and don't recall ever putting a jacket on that felt like steel wool.
-1,This dress is so cute in the photo and fit true to size  but the material is slinky and felt cheap. the stitching was also poor quality. i am so thankful that retailer will let us order a batch  try on and return in store...this went back.
-1,I had been eyeing this coat for a few weeks after it appeared in the email  and i finally decided to purchase it to treat myself. i was very excited to get it  as it is a beautiful coat online. however  once i received it i was very disappointed. the material is much thinner than i would expect for something that cost $168  and when i went to button it the button slipped right off the thread it was sewn onto the coat with. i checked the other buttons and all of them were loose as well.     perso
-1,I wanted to love this shirt  but was very disappointed. i had read other reviews and still ordered  but wish i would have listened. the shirt looks nothing like photos online and is extremely boxy and unflattering. had to send it back.
-1,"Was excited to receive this dress  as it had some great reviews. however  of the love was coming from the 5'5""+ set. as a petite  this didn't work well for me  and the fabric flattened me out in the bust in an awkward way. returned."
-1,"I ordered this in a size 1 which i thought would be a small and it was very  very wide. it is very short too. i typically wear a small and am 5'8"" and 132 lbs. it's going back unfortunately. very soft material though."
-1,I stalked this sold out product for weeks hoping my size would become available. when it did  i was very excited  in fact i ordered both a s and xs to be sure one sweater would fit me! unfortunately  neither did and i felt the actual sweater was not as pictured. the sweater has an overall baggy fit and the cutouts don't fall as neatly and as evenly on both shoulders as the picture shows  making the look a bit sloppy in my opinion. it is such a shame as this look is very of the moment and the mod
-1,This dress has been in my inbox for a long time and when it went on sale i purchased it right away. i am a size 4 petite in everything retailer and have not had a problem with fit  if anything i might have to size down. i purchased a 4 petite in this dress and i couldn't zip it all the way up. it was as if i was trying to get into a 0 petite.  i don't even think a size 6 would fit. there is something not right with the make of this particular dress i received. even if the fit was perfect i didn't
-1,"This dress looked great on the hanger  but once on  it did absolutely nothing for me.    navy is one of my most flattering colors  but the navy in the dress did not make up for the yucky second color that was so blah it just reminded me of dirt. that second color made me look drab.    i am 5'8"" with a long torso and wear a size 12 in tts tops and dresses  but the waist on this dress hit at an uncomfortable spot between by waist and ribs. i really needed the waist to be dropped further. or higher"
-1,"I am 5'8""  140lbs  pear-shaped. i ordered the s and it fit perfectly  just skimming the floor. the material is a beautiful gauzy metallic material that is lightweight with a beautiful drape and wonderful sorbet-inspired colors. the waistband is elasticized but not elastic  and there is no unflattering poofing  which can happen with skirts like this. the flaw  however  is in the decision to only half-line this skirt with an off-white jersey material. the half-lining isn't horrible but i found it"
-1,I love the idea of this top  but there is just way too much fabric involved in person! i'm 5'2 and usually wear a small or medium to accommodate a fuller chest. i ordered a small and it fit fine around the chest but the huge swing hem combined with the slightly stiff fabric is just enormously unflattering. i feel like they could have made about 3 shirts out of it. i think the picture must have it pinned a ton in the back  the silhouette is nothing like shown. if there were just less fabric  i wo
-1,Only one sleeve is folded twice and sewed. meh.
-1,I loved this dress online and was luckily able to locate it in a store about an hour away from me. i drove to the store to purchase it; however  when i tried it on  i was so disappointed! the print is adorable and it is made of great quality  but the swing style is definitely more than mini! i could have fit 3 of myself in this dress. it is definitely not as depicted in the photographs. also  the background of the dress is way more pink than appears in the photos  and the floral print isn't as r
-1,On the hanger i thought this had a chance  but oh geez... puffy sleeves  itchy  metallic thread  lace... what a mess. and thin. and uncomfortable. no  no  no.
-1,Was excited to wear the dress for the first time. but while standing in front of the mirror putting makeup on  the seam between the body and sleeve just started to unravel. strangest thing - just a random hole appeared :(.
-1,This blouse is a disappointment! it runs so large  it looks ridiculous. the cute is super wide and flared. they must have it pinned on the model. it is not flattering at all. i really thought this could be cute. not worth the money either! it's expensive and ill-fitting. for reference i am 5'3 and 123lbs and wear a 2 or 4.
-1,First  the fabric is beautiful and lovely for spring and summer. i really wanted to like this top  but the fitting is so awkward for me. i typically where a 0/xs  and sized up in the shirt to a size 2. it was very tight and pulled funny across the chest (size 32/a). i also found the cut at the shoulders very narrow (need a strapless bra) and made it look unflattering overall. had to return this one back to the store.
-1,I couldn't wait to get this top in the mail since they didn't have it at my local retailer  but i was so disappointed in both the quality and fit. the white is completely see-thru  i can't believe how sheer the material is - especially for the price. even as the shirt is lying down  i can see through both layers of it... the fit runs small  and short.
-1,"I ordered this online  and when i opened the package  i was impressed with the quality of the material and stitching for this top. it is much nicer than a basic t-shirt.    when i tried this on  the band of stitching that was supposed to go beneath my chest was sitting on top of my cleavage! also  the overall length is listed as 27"" long  but i think that is the back of the shirt. the front of the shirt is very short on me (i'm 5'10"")  hitting well above my hip bones.    if only this was much  m"
-1,The shape is awkward  too loose  not flattering. my body just disappears under all the fabric and the bird print wasn't as cute as online. returning this one.
-1,This is a beautiful top but the xs was literally 4-6 inches too wide. very disappointing! i am thin and tall but this was a maternity top on me. i don't usually wear xxs. it is much more voluminous than it appears in the picture and it is definitely gray and blue not white.
-1,This is cut very strangely  i'm short waisted and this barely covered my belly button. the material is rough and scratchy. did not like at all and will be returning.
-1,This dress will unfortunately be returned...so cute online and looks like a sack in person.  runs very large  arm holes are very low.  not flattering.
-1,This cardigan is made of nice materials and is lined  but it is boxy and totally un-fitted. i swim  which means i have large shoulders  and this thing makes me look like a boxing champion  well a fat boxing champion as it has not waste-line. the sleeves are too long  and as usual  retailer saves on money by using little cheap hooks instead of buttons as a closing system  so if you choose to close this cardigan  it just looks awful.
-1,Fell in love with this dress when i saw it online and ordered it right away. however i was sadly disappointed once it arrived. while the cut is cute  the fabric is just all wrong. i was expecting a nice  heavy knit-like material  but this feels and looks really cheap - especially given the price of the dress. sadly it is going back.
-1,This was a disappointment because beautiful fabrics with interesting design are a rarity--and especially at this length! unfortunately  this is a mess in terms of proportions. if a size 2 can barely get it off  then there is a design flaw. sadly  the fit was so strange that it did not seem that simply sizing up would correct the flaws.
-1,I loved this shirt when it first arrived and i couldn't wait to wear it. after one day of wear  i went to hang the shirt back up and it was ripping on both sides of the middle back seem. this shirt was not tight on me at all. very disappointed.
-1,Like other reviewers have said  this is very sheer  look at the sleeve in the picture and you'll get an idea of how sheer the body is as well. the material posed challenges for it's creater because one top i tried on in the store had a sleeve that was smaller than the other  tight enough that it would have ripped if i weren't careful. tried on another identical top and the sleeves were a normal somewhat loose fit. bodice portion is much more intense pink in real life. loose  billowy  and perhaps
-1,"So i really loved this dress. i am tall (6ft) and the size 8 was perfect length. i would have worn it with flat dressy sandals. i would say it is true to size. i am not a flowy dress kind of girl but this was just the perfect amount of ""flow"" without making me feel like i was wearing a long potato sack. the back is just gorgeous and unique. here is why i couldn't make it mine. the tube top part is completely detachable and extremely thin. there is literally not much to it and i'm not sure it wou"
-1,As a beach cover-up this would be great  but i'm surprised retailer calls this a dress and doesn't show on the model how thin it is. it's pretty sheer and i couldn't get away without layering it.
-1,It looks like you are wearing cargo shorts. really unflattering. avoid buying this skirt
-1,I too will be returning this sweater. love the style  shape and fabric  but after one wearing it has pilled terribly and now looks old and cheap.
-1,I ordered this blouse online bc i couldn't find it in my local stores once it was on sale. the fabric is so delicate. the cutouts had already frayed and in some places torn. had to return it.
-1,Agree with above review. these are described totally wrong. they are not 8.5 rise. they are very high rise  so much that i didnt even try them on...the color isnt good either  it looks like a cheap levi's color or just not a quality denim. if you like high rise  you might like them. i can't comment on fit..
-1,This dress looks very beautiful on the model shown. unfortunately  when i tried it on  it did not flow as nicely as i would have liked it to. i also didn't care much for the waist ties on the side. an elastic waist might have been better.
-1,This top is beautifully made and designed. material is soft and comfortable however it's very boxy. the details on the side stick out. i just found it not very flattering for me.
-1,Unless you have the body of the model - tall and very thin and wear a really small size - don't even think about getting this dress! it's literally a heavy sack. it hit right above my knee in the front and basically mid-calf in the back. the material is nice but it's an awful shape!
-1,I love this top so much online. i received it yesterday in the mail and unfortunately i am very disappointed.  there is nothing wrong with the quality but i do think it looks more appealing online. also  this top is probably not for anyone with a large chest. it looks nice and drapey on the model. when i put it on it just makes me look fat and the top (thanks to my 38dds) looks more like a swing top. i'm sure it's a lovely top on very thin people with a smaller chest.
-1,This white shirt is very thin esp in the front and see through - i would have to wear a cami underneath unless i wanted people to see the outline of my bra. it seems very flimsy and poor quality  even at the sale price. disappointed and will return...
